TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2020-03-08 16:39:05.675,0.89573056,0.49321046,0.21685964,0.9492817,0.63545173,0.33102232,-0.0016684744,0.7524999,1.033545,0.8217802,-0.09720135,1.3708398,0.76051587,1.1969428,0.06294834,0.620695,0.26646516,1.2234123,-0.21339217,0.048706964,758.71796,28.608059,796.5934,782.49084,791.75824,0.2449951171875,-0.03216552734375,0.96710205078125,1.727142333984375,3.2000732421875,11.43951416015625,1,1.0,2.0,1.0,1.0,75.00
2020-03-08 16:39:06.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-08 16:39:06.684,0.6593223,0.49321046,0.22821788,0.9061799,0.22081192,0.33102232,-0.04257297,0.06547955,0.53804857,0.8217802,0.3302595,0.3288087,0.7806111,1.1969428,0.07636176,0.5449674,0.26010942,1.2234123,0.19648875,-0.12422939,811.0989,491.97803,803.0403,929.9634,620.9158,0.21392822265625,0.12109375,1.00054931640625,3.715972900390625,-6.273040771484375,-4.9945068359375,1,1.0,2.0,1.0,1.0,75.00
2020-03-08 16:39:07.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2020-03-08 16:39:07.702,0.6532023,0.49321046,0.3345646,0.9254938,0.19714428,0.33102232,-0.13760392,0.056479722,0.34103295,0.8217802,0.3299612,0.20300743,0.78718287,1.1969428,0.13642973,0.544295,0.23924297,1.2234123,0.4698546,-0.08696812,897.72894,608.022,811.50183,925.5311,711.5751,0.15087890625,0.06915283203125,0.99835205078125,-1.07666015625,-0.35888671875,-0.76263427734375,1,1.0,2.0,1.0,1.0,75.00
2020-03-08 16:39:08.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-08 16:39:08.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2020-03-08 16:39:08.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-08 16:39:08.707,0.6532023,0.49321046,0.3345646,0.9254938,0.19714428,0.33102232,-0.13760392,0.056479722,0.34103295,0.8217802,0.3299612,0.20300743,0.78718287,1.1969428,0.13642973,0.544295,0.23924297,1.2234123,0.4698546,-0.08696812,1126.1904,31.831501,1230.1465,1093.956,1009.34064,0.0916748046875,0.0692138671875,1.009033203125,-13.630218505859375,11.424560546875,4.987030029296875,1,2.0,2.0,1.0,2.0,75.00
2020-03-08 16:39:08.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
